Date;Heure;Température extérieure (°C);Température intérieure actuelle (°C);Température cible souhaitée (°C);Consommation énergétique (kWh);Statut de l'occupation (binaire);Adresse;Code Postal;Type d'énergie
2023-01-01;00:00:00;5.1;12.8;12;0.28;0;Address 1;45854;Electricity
2023-01-01;01:00:00;19.4;12.7;12;0.24;0;Address 2;23942;Electricity
2023-01-01;02:00:00;21.2;22.1;22;2.45;1;Address 3;84750;Gas
2023-01-01;03:00:00;16.8;10.2;12;0.31;0;Address 4;61312;Electricity
2023-01-01;04:00:00;22.4;22.7;22;2.58;1;Address 5;71910;Solar
2023-01-01;05:00:00;9.0;12.1;12;0.3;0;Address 6;25606;Gas
2023-01-01;06:00:00;15.1;21.9;22;2.35;1;Address 7;56930;Gas
2023-01-01;07:00:00;5.4;21.5;22;2.02;1;Address 8;57245;Gas
2023-01-01;08:00:00;19.8;11.1;12;0.37;0;Address 9;26293;Solar
2023-01-01;09:00:00;7.5;12.7;12;0.16;0;Address 10;89909;Electricity
2023-01-01;10:00:00;14.5;10.9;12;0.33;0;Address 11;47351;Gas
2023-01-01;11:00:00;16.7;21.6;22;2.25;1;Address 12;48413;Solar
2023-01-01;12:00:00;-2.0;10.0;12;0.45;0;Address 13;24139;Gas
2023-01-01;13:00:00;19.1;12.6;12;0.22;0;Address 14;45386;Gas
2023-01-01;14:00:00;18.7;11.1;12;0.41;0;Address 15;24377;Electricity
2023-01-01;15:00:00;12.9;10.5;12;0.35;0;Address 16;39051;Gas
2023-01-01;16:00:00;17.2;10.3;12;0.49;0;Address 17;25805;Electricity
2023-01-01;17:00:00;-4.9;11.2;12;0.49;0;Address 18;93301;Solar
2023-01-01;18:00:00;12.6;22.9;22;1.64;1;Address 19;90132;Electricity
2023-01-01;19:00:00;9.8;22.0;22;1.82;1;Address 20;72145;Gas
2023-01-01;20:00:00;-1.1;21.9;22;2.83;1;Address 21;58288;Electricity
2023-01-01;21:00:00;0.3;21.9;22;1.9;1;Address 22;48079;Gas
2023-01-01;22:00:00;2.5;22.3;22;2.58;1;Address 23;43526;Gas
2023-01-01;23:00:00;2.8;10.9;12;0.46;0;Address 24;63363;Gas
2023-01-02;00:00:00;10.6;22.3;22;1.99;1;Address 25;66726;Gas
2023-01-02;01:00:00;9.8;11.0;12;0.21;0;Address 26;74016;Solar
2023-01-02;02:00:00;0.7;22.0;22;2.73;1;Address 27;99314;Gas
2023-01-02;03:00:00;5.4;21.8;22;2.25;1;Address 28;87719;Electricity
2023-01-02;04:00:00;28.2;22.1;22;2.54;1;Address 29;88283;Electricity
2023-01-02;05:00:00;11.4;22.1;22;2.39;1;Address 30;78821;Solar
2023-01-02;06:00:00;-4.1;11.1;12;0.44;0;Address 31;97228;Solar
2023-01-02;07:00:00;20.8;11.2;12;0.19;0;Address 32;90644;Gas
2023-01-02;08:00:00;13.5;21.0;22;2.27;1;Address 33;93323;Gas
2023-01-02;09:00:00;8.1;22.5;22;1.91;1;Address 34;85981;Gas
2023-01-02;10:00:00;4.8;12.1;12;0.34;0;Address 35;17621;Gas
2023-01-02;11:00:00;-0.5;22.8;22;1.8;1;Address 36;73305;Solar
2023-01-02;12:00:00;3.8;22.4;22;1.82;1;Address 37;89163;Solar
2023-01-02;13:00:00;1.4;10.2;12;0.3;0;Address 38;27855;Gas
2023-01-02;14:00:00;22.3;21.4;22;2.01;1;Address 39;31061;Gas
2023-01-02;15:00:00;-1.4;21.5;22;2.52;1;Address 40;43071;Gas
2023-01-02;16:00:00;19.3;12.8;12;0.41;0;Address 41;90944;Solar
2023-01-02;17:00:00;3.3;12.7;12;0.42;0;Address 42;32231;Electricity
2023-01-02;18:00:00;17.9;10.4;12;0.38;0;Address 43;58127;Electricity
2023-01-02;19:00:00;6.0;22.8;22;2.51;1;Address 44;51995;Gas
2023-01-02;20:00:00;8.1;22.3;22;2.06;1;Address 45;16376;Electricity
2023-01-02;21:00:00;25.8;10.4;12;0.49;0;Address 46;91214;Solar
2023-01-02;22:00:00;0.1;21.4;22;2.93;1;Address 47;27416;Solar
2023-01-02;23:00:00;10.7;21.1;22;2.3;1;Address 48;93815;Solar
2023-01-03;00:00:00;9.2;21.9;22;2.83;1;Address 49;38653;Solar
2023-01-03;01:00:00;4.6;10.5;12;0.43;0;Address 50;15372;Solar
2023-01-03;02:00:00;18.0;21.9;22;2.38;1;Address 51;18342;Solar
2023-01-03;03:00:00;-3.2;21.9;22;2.49;1;Address 52;64268;Solar
2023-01-03;04:00:00;0.9;22.8;22;2.29;1;Address 53;16298;Solar
